"","pathway1","pathway2","subtype"
"441","hsa04664","hsa00590","map"
"442","hsa04726","hsa00590","map"
"443","hsa04750","hsa00590","map"
"444","hsa04921","hsa00590","map"
"445","hsa04923","hsa00590","map"
"446","hsa04925","hsa00590","map"
"452","hsa00601","hsa00600","map"
"453","hsa00603","hsa00600","map"
"454","hsa00604","hsa00600","map"
"455","hsa04071","hsa00600","map"
"460","hsa00511","hsa00604","map"
"464","hsa00051","hsa00620","map"
"469","hsa00270","hsa00620","map"
"471","hsa00350","hsa00620","map"
"472","hsa00430","hsa00620","map"
"473","hsa00564","hsa00620","map"
"475","hsa00630","hsa00620","map"
"478","hsa00640","hsa00620","map"
"480","hsa00650","hsa00620","map"
"481","hsa00760","hsa00620","map"
"486","hsa00232","hsa00630","map"
"490","hsa00330","hsa00630","map"
"494","hsa00750","hsa00630","map"
"495","hsa00910","hsa00630","map"
"504","hsa00770","hsa00640","map"
"505","hsa00071","hsa00650","map"
"509","hsa00350","hsa00650","map"
"512","hsa00750","hsa00650","map"
"514","hsa00790","hsa00670","map"
"517","hsa04122","hsa00730","map"
"521","hsa00860","hsa00740","map"
"524","hsa00730","hsa00750","map"
"543","hsa04122","hsa00790","map"
"545","hsa04146","hsa00830","map"
"546","hsa04744","hsa00830","map"
"551","hsa04978","hsa00860","map"
"557","hsa00280","hsa00900","map"
"560","hsa04146","hsa00900","map"
"561","hsa04216","hsa00900","map"
"562","hsa04979","hsa00900","map"
"571","hsa00430","hsa00920","map"
"576","hsa01522","hsa00982","map"
"579","hsa04152","hsa01040","map"
"583","hsa03013","hsa03008","map"
"584","hsa03008","hsa03010","map"
"586","hsa03013","hsa03010","map"
"588","hsa03015","hsa03013","map"
"591","hsa03018","hsa03015","map"
"595","hsa03013","hsa03020","map"
"597","hsa03022","hsa03020","map"
"598","hsa03420","hsa03020","map"
"602","hsa03013","hsa03040","map"
"603","hsa03015","hsa03040","map"
"606","hsa04064","hsa03050","map"
"607","hsa04120","hsa03050","map"
"608","hsa04141","hsa03050","map"
"609","hsa04612","hsa03050","map"
"611","hsa04141","hsa03060","map"
"613","hsa04146","hsa03320","map"
"615","hsa03022","hsa03420","map"
"618","hsa03460","hsa03430","map"
"620","hsa03460","hsa03440","map"
"623","hsa01522","hsa04010","map"
"626","hsa04012","hsa04010","map"
"627","hsa04014","hsa04010","map"
"628","hsa04015","hsa04010","map"
"629","hsa04020","hsa04010","map"
"630","hsa04022","hsa04010","map"
"631","hsa04062","hsa04010","map"
"632","hsa04066","hsa04010","map"
"633","hsa04068","hsa04010","map"
"634","hsa04071","hsa04010","map"
"635","hsa04072","hsa04010","map"
"636","hsa04110","hsa04010","map"
"637","hsa04114","hsa04010","map"
"638","hsa04140","hsa04010","map"
"639","hsa04150","hsa04010","map"
"640","hsa04151","hsa04010","map"
"641","hsa04210","hsa04010","map"
"642","hsa04310","hsa04010","map"
"644","hsa04330","hsa04010","map"
"645","hsa04350","hsa04010","map"
"646","hsa04360","hsa04010","map"
"648","hsa04370","hsa04010","map"
"649","hsa04371","hsa04010","map"
"650","hsa04380","hsa04010","map"
"651","hsa04510","hsa04010","map"
"652","hsa04520","hsa04010","map"
"653","hsa04540","hsa04010","map"
"654","hsa04550","hsa04010","map"
"656","hsa04620","hsa04010","map"
"657","hsa04621","hsa04010","map"
"658","hsa04622","hsa04010","map"
"659","hsa04630","hsa04010","map"
"660","hsa04650","hsa04010","map"
"661","hsa04657","hsa04010","map"
"662","hsa04658","hsa04010","map"
"663","hsa04659","hsa04010","map"
"664","hsa04660","hsa04010","map"
"665","hsa04662","hsa04010","map"
"666","hsa04664","hsa04010","map"
"667","hsa04668","hsa04010","map"
"668","hsa04710","hsa04010","map"
"669","hsa04713","hsa04010","map"
"671","hsa04714","hsa04010","map"
"672","hsa04720","hsa04010","map"
"673","hsa04722","hsa04010","map"
"674","hsa04725","hsa04010","map"
"675","hsa04750","hsa04010","map"
"676","hsa04810","hsa04010","map"
"677","hsa04910","hsa04010","map"
"678","hsa04912","hsa04010","map"
"679","hsa04914","hsa04010","map"
"680","hsa04915","hsa04010","map"
"681","hsa04916","hsa04010","map"
"682","hsa04917","hsa04010","map"
"683","hsa04919","hsa04010","map"
"684","hsa04920","hsa04010","map"
"685","hsa04921","hsa04010","map"
"686","hsa04926","hsa04010","map"
"688","hsa04151","hsa04012","map"
"689","hsa04928","hsa04012","map"
"691","hsa04015","hsa04014","map"
"692","hsa04072","hsa04014","map"
"695","hsa04024","hsa04015","map"
"696","hsa04611","hsa04015","map"
"697","hsa04012","hsa04020","map"
"698","hsa04014","hsa04020","map"
"699","hsa04015","hsa04020","map"
"701","hsa04022","hsa04020","map"
"702","hsa04024","hsa04020","map"
"703","hsa04064","hsa04020","map"
"704","hsa04066","hsa04020","map"
"705","hsa04070","hsa04020","map"
"706","hsa04072","hsa04020","map"
"707","hsa04210","hsa04020","map"
"708","hsa04218","hsa04020","map"
"709","hsa04260","hsa04020","map"
"710","hsa04261","hsa04020","map"
"711","hsa04270","hsa04020","map"
"712","hsa04370","hsa04020","map"
"713","hsa04371","hsa04020","map"
"714","hsa04380","hsa04020","map"
"715","hsa04540","hsa04020","map"
"716","hsa04611","hsa04020","map"
"718","hsa04650","hsa04020","map"
"719","hsa04658","hsa04020","map"
"720","hsa04659","hsa04020","map"
"721","hsa04660","hsa04020","map"
"722","hsa04662","hsa04020","map"
"723","hsa04666","hsa04020","map"
"724","hsa04720","hsa04020","map"
"725","hsa04723","hsa04020","map"
"726","hsa04724","hsa04020","map"
"727","hsa04725","hsa04020","map"
"728","hsa04726","hsa04020","map"
"729","hsa04728","hsa04020","map"
"730","hsa04730","hsa04020","map"
"731","hsa04742","hsa04020","map"
"732","hsa04750","hsa04020","map"
"733","hsa04911","hsa04020","map"
"734","hsa04912","hsa04020","map"
"735","hsa04915","hsa04020","map"
"736","hsa04918","hsa04020","map"
"737","hsa04919","hsa04020","map"
"738","hsa04921","hsa04020","map"
"739","hsa04922","hsa04020","map"
"740","hsa04924","hsa04020","map"
"741","hsa04925","hsa04020","map"
"742","hsa04926","hsa04020","map"
"743","hsa04927","hsa04020","map"
"744","hsa04928","hsa04020","map"
"746","hsa04970","hsa04020","map"
"747","hsa04971","hsa04020","map"
"748","hsa04972","hsa04020","map"
"750","hsa04714","hsa04022","map"
"751","hsa04923","hsa04022","map"
"752","hsa04924","hsa04022","map"
"753","hsa04925","hsa04022","map"
"754","hsa01522","hsa04024","map"
"756","hsa04072","hsa04024","map"
"757","hsa04714","hsa04024","map"
"758","hsa04740","hsa04024","map"
"759","hsa04912","hsa04024","map"
"760","hsa04922","hsa04024","map"
"761","hsa04923","hsa04024","map"
"764","hsa04924","hsa04024","map"
"765","hsa04925","hsa04024","map"
"766","hsa04926","hsa04024","map"
"767","hsa04927","hsa04024","map"
"768","hsa04928","hsa04024","map"
"770","hsa04062","hsa04060","map"
"771","hsa04064","hsa04060","map"
"772","hsa04144","hsa04060","map"
"773","hsa04360","hsa04060","map"
"774","hsa04510","hsa04060","map"
"775","hsa04520","hsa04060","map"
"776","hsa04540","hsa04060","map"
"777","hsa04620","hsa04060","map"
"778","hsa04630","hsa04060","map"
"779","hsa04650","hsa04060","map"
"780","hsa04657","hsa04060","map"
"781","hsa04912","hsa04060","map"
"783","hsa04151","hsa04062","map"
"785","hsa04151","hsa04064","map"
"786","hsa04210","hsa04064","map"
"787","hsa04211","hsa04064","map"
"788","hsa04380","hsa04064","map"
"789","hsa04620","hsa04064","map"
"790","hsa04621","hsa04064","map"
"791","hsa04623","hsa04064","map"
"792","hsa04657","hsa04064","map"
"793","hsa04658","hsa04064","map"
"794","hsa04659","hsa04064","map"
"795","hsa04660","hsa04064","map"
"796","hsa04662","hsa04064","map"
"797","hsa04668","hsa04064","map"
"798","hsa04926","hsa04064","map"
"799","hsa04659","hsa04066","map"
"800","hsa04919","hsa04066","map"
"802","hsa04151","hsa04068","map"
"803","hsa04211","hsa04068","map"
"804","hsa04213","hsa04068","map"
"805","hsa04218","hsa04068","map"
"806","hsa04922","hsa04068","map"
"807","hsa04010","hsa04070","map"
"810","hsa04144","hsa04070","map"
"811","hsa04510","hsa04070","map"
"812","hsa04540","hsa04070","map"
"813","hsa04664","hsa04070","map"
"814","hsa04910","hsa04070","map"
"816","hsa04072","hsa04071","map"
"819","hsa04540","hsa04080","map"
"820","hsa04912","hsa04080","map"
"821","hsa01522","hsa04110","map"
"823","hsa04012","hsa04110","map"
"824","hsa04068","hsa04110","map"
"826","hsa04115","hsa04110","map"
"828","hsa04151","hsa04110","map"
"829","hsa04152","hsa04110","map"
"830","hsa04218","hsa04110","map"
"831","hsa04310","hsa04110","map"
"832","hsa04350","hsa04110","map"
"833","hsa04510","hsa04110","map"
"834","hsa04630","hsa04110","map"
"835","hsa04914","hsa04110","map"
"836","hsa04921","hsa04110","map"
"838","hsa04010","hsa04115","map"
"840","hsa04151","hsa04115","map"
"841","hsa04210","hsa04115","map"
"842","hsa04211","hsa04115","map"
"843","hsa04218","hsa04115","map"
"844","hsa04310","hsa04115","map"
"845","hsa04919","hsa04115","map"
"847","hsa03420","hsa04120","map"
"848","hsa04062","hsa04120","map"
"849","hsa04064","hsa04120","map"
"850","hsa04066","hsa04120","map"
"851","hsa04068","hsa04120","map"
"852","hsa04110","hsa04120","map"
"853","hsa04114","hsa04120","map"
"855","hsa04122","hsa04120","map"
"856","hsa04310","hsa04120","map"
"857","hsa04340","hsa04120","map"
"858","hsa04350","hsa04120","map"
"859","hsa04390","hsa04120","map"
"860","hsa04620","hsa04120","map"
"861","hsa04622","hsa04120","map"
"863","hsa04623","hsa04120","map"
"864","hsa04630","hsa04120","map"
"865","hsa04660","hsa04120","map"
"867","hsa04662","hsa04120","map"
"868","hsa04668","hsa04120","map"
"869","hsa04710","hsa04120","map"
"870","hsa04722","hsa04120","map"
"871","hsa04960","hsa04120","map"
"874","hsa04142","hsa04130","map"
"875","hsa04144","hsa04130","map"
"878","hsa04068","hsa04140","map"
"879","hsa04137","hsa04140","map"
"881","hsa04142","hsa04140","map"
"882","hsa04150","hsa04140","map"
"883","hsa04152","hsa04140","map"
"884","hsa04211","hsa04140","map"
"885","hsa04371","hsa04140","map"
"886","hsa04621","hsa04140","map"
"887","hsa04140","hsa04141","map"
"889","hsa04210","hsa04141","map"
"890","hsa04071","hsa04142","map"
"893","hsa04144","hsa04142","map"
"894","hsa04145","hsa04142","map"
"895","hsa04666","hsa04142","map"
"896","hsa04918","hsa04142","map"
"897","hsa04977","hsa04142","map"
"898","hsa04014","hsa04144","map"
"900","hsa04072","hsa04144","map"
"903","hsa04145","hsa04144","map"
"904","hsa04666","hsa04144","map"
"905","hsa04721","hsa04144","map"
"906","hsa04727","hsa04144","map"
"907","hsa04961","hsa04144","map"
"908","hsa04962","hsa04144","map"
"909","hsa04976","hsa04144","map"
"910","hsa04977","hsa04144","map"
"913","hsa04918","hsa04146","map"
"914","hsa04012","hsa04150","map"
"915","hsa04066","hsa04150","map"
"916","hsa04072","hsa04150","map"
"919","hsa04151","hsa04150","map"
"920","hsa04152","hsa04150","map"
"921","hsa04211","hsa04150","map"
"922","hsa04213","hsa04150","map"
"923","hsa04218","hsa04150","map"
"924","hsa04371","hsa04150","map"
"925","hsa04714","hsa04150","map"
"926","hsa04919","hsa04150","map"
"927","hsa01522","hsa04151","map"
"929","hsa04014","hsa04151","map"
"930","hsa04015","hsa04151","map"
"931","hsa04022","hsa04151","map"
"932","hsa04024","hsa04151","map"
"933","hsa04066","hsa04151","map"
"935","hsa04070","hsa04151","map"
"936","hsa04071","hsa04151","map"
"937","hsa04072","hsa04151","map"
"940","hsa04152","hsa04151","map"
"941","hsa04210","hsa04151","map"
"942","hsa04211","hsa04151","map"
"943","hsa04213","hsa04151","map"
"944","hsa04261","hsa04151","map"
"945","hsa04370","hsa04151","map"
"946","hsa04371","hsa04151","map"
"947","hsa04380","hsa04151","map"
"948","hsa04510","hsa04151","map"
"949","hsa04550","hsa04151","map"
"950","hsa04611","hsa04151","map"
"951","hsa04620","hsa04151","map"
"952","hsa04630","hsa04151","map"
"953","hsa04660","hsa04151","map"
"954","hsa04662","hsa04151","map"
"955","hsa04668","hsa04151","map"
"956","hsa04915","hsa04151","map"
"957","hsa04917","hsa04151","map"
"958","hsa04919","hsa04151","map"
"959","hsa04926","hsa04151","map"
"963","hsa04211","hsa04152","map"
"964","hsa04213","hsa04152","map"
"965","hsa04371","hsa04152","map"
"966","hsa01522","hsa04210","map"
"969","hsa04022","hsa04210","map"
"970","hsa04024","hsa04210","map"
"972","hsa04068","hsa04210","map"
"973","hsa04110","hsa04210","map"
"979","hsa04215","hsa04210","map"
"980","hsa04217","hsa04210","map"
"981","hsa04350","hsa04210","map"
"982","hsa04620","hsa04210","map"
"983","hsa04622","hsa04210","map"
"984","hsa04630","hsa04210","map"
"985","hsa04650","hsa04210","map"
"986","hsa04657","hsa04210","map"
"987","hsa04668","hsa04210","map"
"988","hsa04722","hsa04210","map"
"989","hsa04910","hsa04210","map"
"990","hsa04213","hsa04211","map"
"997","hsa04024","hsa04260","map"
"999","hsa04261","hsa04260","map"
"1000","hsa04919","hsa04260","map"
"1002","hsa04022","hsa04270","map"
"1004","hsa04371","hsa04270","map"
"1005","hsa04614","hsa04270","map"
"1006","hsa04915","hsa04270","map"
"1007","hsa04926","hsa04270","map"
"1010","hsa04360","hsa04310","map"
"1011","hsa04390","hsa04310","map"
"1012","hsa04510","hsa04310","map"
"1013","hsa04520","hsa04310","map"
"1014","hsa04550","hsa04310","map"
"1016","hsa04916","hsa04310","map"
"1017","hsa04919","hsa04310","map"
"1018","hsa04928","hsa04310","map"
"1019","hsa01522","hsa04330","map"
"1021","hsa04658","hsa04330","map"
"1022","hsa04919","hsa04330","map"
"1023","hsa04024","hsa04340","map"
"1025","hsa04068","hsa04350","map"
"1026","hsa04144","hsa04350","map"
"1027","hsa04310","hsa04350","map"
"1029","hsa04390","hsa04350","map"
"1030","hsa04520","hsa04350","map"
"1031","hsa04550","hsa04350","map"
"1033","hsa04659","hsa04350","map"
"1034","hsa04913","hsa04350","map"
"1035","hsa04926","hsa04350","map"
"1037","hsa04066","hsa04370","map"
"1040","hsa04926","hsa04370","map"
"1043","hsa04928","hsa04380","map"
"1045","hsa04392","hsa04390","map"
"1047","hsa04015","hsa04510","map"
"1051","hsa04370","hsa04510","map"
"1053","hsa04512","hsa04510","map"
"1054","hsa04810","hsa04510","map"
"1056","hsa04919","hsa04510","map"
"1060","hsa04658","hsa04514","map"
"1061","hsa04659","hsa04514","map"
"1062","hsa04660","hsa04514","map"
"1063","hsa04670","hsa04514","map"
"1064","hsa04015","hsa04520","map"
"1066","hsa04390","hsa04520","map"
"1068","hsa04514","hsa04520","map"
"1070","hsa04530","hsa04520","map"
"1071","hsa04810","hsa04520","map"
"1072","hsa04371","hsa04530","map"
"1073","hsa04390","hsa04530","map"
"1074","hsa04514","hsa04530","map"
"1078","hsa04918","hsa04530","map"
"1079","hsa04960","hsa04530","map"
"1080","hsa04961","hsa04530","map"
"1081","hsa04962","hsa04530","map"
"1082","hsa04964","hsa04530","map"
"1083","hsa04966","hsa04530","map"
"1084","hsa04970","hsa04530","map"
"1085","hsa04971","hsa04530","map"
"1086","hsa04972","hsa04530","map"
"1087","hsa04973","hsa04530","map"
"1088","hsa04974","hsa04530","map"
"1089","hsa04975","hsa04530","map"
"1090","hsa04976","hsa04530","map"
"1091","hsa04977","hsa04530","map"
"1092","hsa04978","hsa04530","map"
"1095","hsa00130","hsa04610","map"
"1096","hsa04145","hsa04610","map"
"1097","hsa04514","hsa04610","map"
"1099","hsa04611","hsa04610","map"
"1100","hsa04614","hsa04610","map"
"1101","hsa04620","hsa04610","map"
"1102","hsa04662","hsa04610","map"
"1104","hsa04145","hsa04612","map"
"1106","hsa04672","hsa04612","map"
"1108","hsa04924","hsa04614","map"
"1109","hsa04925","hsa04614","map"
"1111","hsa04145","hsa04620","map"
"1114","hsa04621","hsa04620","map"
"1115","hsa04659","hsa04620","map"
"1117","hsa04064","hsa04622","map"
"1119","hsa04623","hsa04622","map"
"1122","hsa04062","hsa04630","map"
"1123","hsa04068","hsa04630","map"
"1125","hsa04380","hsa04630","map"
"1126","hsa04550","hsa04630","map"
"1127","hsa04620","hsa04630","map"
"1128","hsa04622","hsa04630","map"
"1130","hsa04650","hsa04630","map"
"1131","hsa04658","hsa04630","map"
"1132","hsa04659","hsa04630","map"
"1133","hsa04917","hsa04630","map"
"1136","hsa04612","hsa04650","map"
"1139","hsa04625","hsa04658","map"
"1141","hsa04625","hsa04659","map"
"1142","hsa04657","hsa04659","map"
"1144","hsa04014","hsa04660","map"
"1145","hsa04015","hsa04660","map"
"1148","hsa04612","hsa04660","map"
"1150","hsa04658","hsa04660","map"
"1151","hsa04659","hsa04660","map"
"1153","hsa04672","hsa04660","map"
"1158","hsa04672","hsa04662","map"
"1159","hsa04072","hsa04664","map"
"1161","hsa04145","hsa04666","map"
"1165","hsa04217","hsa04668","map"
"1167","hsa04062","hsa04670","map"
"1171","hsa04672","hsa04670","map"
"1174","hsa04713","hsa04710","map"
"1178","hsa04014","hsa04720","map"
"1180","hsa04024","hsa04720","map"
"1182","hsa04722","hsa04720","map"
"1183","hsa04724","hsa04720","map"
"1185","hsa04723","hsa04721","map"
"1187","hsa04724","hsa04721","map"
"1188","hsa04725","hsa04721","map"
"1189","hsa04726","hsa04721","map"
"1190","hsa04727","hsa04721","map"
"1191","hsa04728","hsa04721","map"
"1196","hsa04723","hsa04724","map"
"1198","hsa04728","hsa04724","map"
"1199","hsa04730","hsa04724","map"
"1203","hsa04723","hsa04727","map"
"1205","hsa04915","hsa04727","map"
"1208","hsa04917","hsa04728","map"
"1215","hsa04973","hsa04742","map"
"1216","hsa04022","hsa04744","map"
"1218","hsa04610","hsa04750","map"
"1220","hsa04014","hsa04810","map"
"1221","hsa04015","hsa04810","map"
"1222","hsa04062","hsa04810","map"
"1223","hsa04150","hsa04810","map"
"1224","hsa04360","hsa04810","map"
"1231","hsa04530","hsa04810","map"
"1232","hsa04660","hsa04810","map"
"1233","hsa04662","hsa04810","map"
"1234","hsa04666","hsa04810","map"
"1236","hsa04670","hsa04810","map"
"1237","hsa04722","hsa04810","map"
"1239","hsa04919","hsa04810","map"
"1240","hsa04068","hsa04910","map"
"1241","hsa04140","hsa04910","map"
"1242","hsa04150","hsa04910","map"
"1243","hsa04151","hsa04910","map"
"1244","hsa04152","hsa04910","map"
"1245","hsa04211","hsa04910","map"
"1247","hsa04213","hsa04910","map"
"1249","hsa04913","hsa04910","map"
"1251","hsa04920","hsa04910","map"
"1252","hsa04922","hsa04910","map"
"1253","hsa04923","hsa04910","map"
"1254","hsa04917","hsa04911","map"
