DB13146
DB00445
DB00373
DB00873
DB01004
DB00663
DB01248
DB01041
DB01045
DB00243
DB00610
DB01035
DB06772
DB00690
DB00320
DB00545
DB00980
DB01030
DB01303
DB00349
DB01273
DB11071
DB09272
DB00437
DB00482
DB00938
DB00472
DB00557
DB00950
DB00461
DB00918
DB00154
DB00462
DB01053
DB06144
DB00328
DB00324
DB00443
DB00788
DB00379
DB01414
DB00278
DB01156
DB00880
DB00319
DB00917
DB01227
DB04930
DB00368
DB11079
DB06595
DB00975
DB00797
DB00972
DB01140
DB01409
DB04898
DB08877
DB00612
DB01082
DB08930
DB11827
DB09063
DB00701
DB00804
DB01095
DB00360
DB00378
DB00205
DB00697
DB08867
DB04839
DB09209
DB01006
DB09167
DB00706
DB01012
DB01619
DB11605
DB00900
DB08439
DB00606
DB00411
DB00159
DB00979
DB00946
DB01016
DB08931
DB08802
DB00318
DB00180
DB00433
DB00577
DB01154
DB06201
DB00778
DB00912
DB00207
DB09223
DB00503
DB09128
DB00883
DB01151
DB01242
DB06729
DB00481
DB09198
DB00687
DB01176
DB00573
DB06700
DB00514
DB09080
DB00238
DB00327
DB00800
DB00915
DB00540
DB00541
DB00747
DB01124
DB01400
DB01050
DB00263
DB09095
DB01088
DB00400
DB00564
DB00844
DB09078
DB11901
DB08899
DB12001
DB09074
DB00589
DB00022
DB08889
DB00903
DB01043
DB06335
DB09126
DB01268
DB00376
DB00904
DB00366
DB00790
DB00848
DB06713
DB06698
DB06819
DB00818
DB00219
DB00255
DB01588
DB00678
DB06695
DB00714
DB01064
DB00517
DB09082
DB01339
DB00770
DB04841
DB00942
DB00592
DB00772
DB08864
DB00644
DB00191
DB00050
DB00819
DB01062
DB04941
DB00857
DB04835
DB08870
DB00902
DB00184
DB00143
DB08936
DB00947
DB09014
DB06699
DB00984
DB01307
DB12483
DB00845
DB01075
DB01037
DB00530
DB00428
DB01329
DB00990
DB06825
DB13943
DB00537
DB00872
DB01327
DB00555
DB00321
DB01252
DB01625
DB06228
DB00730
DB01013
DB00808
DB04861
 target_genes_of_drug))
DB06204
DB00297
DB11691
DB12332
DB00140
DB01215
DB11642
DB00365
DB00773
DB00933
DB01116
DB01184
DB01577
DB06616
DB00309
DB00776
DB01359
DB01367
DB04575
DB00877
DB00018
